"Name","val_accuracy","Created","Runtime","End Time","Hostname","ID","Notes","State","Updated","Tags","epochs","learning_rate","weight_decay","accuracy","best_epoch","best_val_loss","epoch","loss","val_loss"
"CelebA LR-C2","0.9147191643714904","2020-11-08T06:22:08.000Z","3524","2020-11-08T07:20:52.000Z","c7edd4a05a0f","3h4r6us7","small lr","finished","2020-11-08T07:20:52.000Z","","20","0.00001","","0.9177857637405396","19","0.224815234541893","19","0.18654584884643555","0.224815234541893"
"CelebA LR-C1","0.8954489827156067","2020-11-08T03:48:03.000Z","9241","2020-11-08T06:22:04.000Z","c7edd4a05a0f","182ir845","small lr","finished","2020-11-08T07:23:35.000Z","","15","0.00001","","0.8909277319908142","14","0.2686145305633545","14","0.2683520019054413","0.2686145305633545"
