"Name","Created","Runtime","End Time","Hostname","ID","Notes","Updated","Tags","accuracy","best_val_loss","loss","val_accuracy","val_loss"
"Q1a V5","2020-11-12T09:38:25.000Z","135","2020-11-12T09:40:40.000Z","44c964dacd39","1ci33qbz","-","2020-11-12T09:41:01.000Z","","0.93321430683136","1.031582951545715","0.24762675166130063","0.6642857193946838","1.319281816482544"
"Q1a V4","2020-11-12T09:33:17.000Z","136","2020-11-12T09:35:33.000Z","2a526cf0e102","4xar5348","-","2020-11-12T09:35:33.000Z","","0.9323214292526244","1.0262802839279177","0.25238800048828125","0.6700000166893005","1.2812572717666626"
"Q1a V3","2020-11-12T08:06:16.000Z","332","2020-11-12T08:11:48.000Z","e6a8fc9dcfa2","3k194awl","-","2020-11-12T08:11:48.000Z","","0.9210714101791382","1.0250678062438965","0.2711268961429596","0.6557142734527588","1.3183045387268066"
"Q1a V2","2020-11-12T08:02:31.000Z","209","2020-11-12T08:06:00.000Z","e6a8fc9dcfa2","1b9dqalo","-","2020-11-12T08:06:00.000Z","","0.928928554058075","1.035335659980774","0.2548231780529022","0.6585714221000671","1.337783694267273"
"Sanity Check Q1a","2020-11-12T07:59:28.000Z","156","2020-11-12T08:02:04.000Z","e6a8fc9dcfa2","21v22kh4","-","2020-11-12T08:02:04.000Z","","0.9275000095367432","1.0382578372955322","0.2581180930137634","0.6571428775787354","1.3651251792907717"
