,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.013856744766235352,0.00197528253260376,0.0014373302459716798,2.1808511167549588e-05,True,gini,10,"{'bootstrap': True, 'criterion': 'gini', 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,15
1,0.12019038200378418,0.005876731062766441,0.007894515991210938,0.0011050794605160282,True,gini,100,"{'bootstrap': True, 'criterion': 'gini', 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
2,0.5775122165679931,0.015732216657379703,0.034941673278808594,0.0024735743073843884,True,gini,500,"{'bootstrap': True, 'criterion': 'gini', 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
3,1.134943151473999,0.002381527699748319,0.065679931640625,0.0005783321316176956,True,gini,1000,"{'bootstrap': True, 'criterion': 'gini', 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
4,0.013135957717895507,0.00020365716701535187,0.0014229297637939453,1.377093824932322e-05,True,entropy,10,"{'bootstrap': True, 'criterion': 'entropy', 'n_estimators': 10}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,15
5,0.11644167900085449,0.0027147100787371825,0.007443046569824219,0.00032908966133092917,True,entropy,100,"{'bootstrap': True, 'criterion': 'entropy', 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
6,0.591081190109253,0.02710056822107861,0.033774948120117186,0.0007766851887131132,True,entropy,500,"{'bootstrap': True, 'criterion': 'entropy', 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
7,1.1670154094696046,0.014346556018567073,0.06833596229553222,0.0026855188395041966,True,entropy,1000,"{'bootstrap': True, 'criterion': 'entropy', 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
8,0.010210752487182617,0.0004092644467062701,0.0015202045440673828,8.033572663182182e-05,False,gini,10,"{'bootstrap': False, 'criterion': 'gini', 'n_estimators': 10}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
9,0.08409919738769531,0.0010906348447847752,0.007398843765258789,0.00010647625330613731,False,gini,100,"{'bootstrap': False, 'criterion': 'gini', 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
10,0.41590313911437987,0.004040790603464914,0.03666954040527344,0.006116241735578647,False,gini,500,"{'bootstrap': False, 'criterion': 'gini', 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
11,0.8365446567535401,0.010609563340415368,0.06636085510253906,0.0003833393711793982,False,gini,1000,"{'bootstrap': False, 'criterion': 'gini', 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
12,0.010052728652954101,0.00037841970521197764,0.001465606689453125,3.892562819959585e-05,False,entropy,10,"{'bootstrap': False, 'criterion': 'entropy', 'n_estimators': 10}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
13,0.08589291572570801,0.0010353739155961601,0.007399940490722656,0.00015808274443562833,False,entropy,100,"{'bootstrap': False, 'criterion': 'entropy', 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
14,0.43090133666992186,0.007524494812665521,0.03370757102966308,0.00035063964857473567,False,entropy,500,"{'bootstrap': False, 'criterion': 'entropy', 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
15,0.8591626644134521,0.014296259439633646,0.07833752632141114,0.023043183296905394,False,entropy,1000,"{'bootstrap': False, 'criterion': 'entropy', 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
