,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31,0.0625997543334961,0.005489569754265452,0.0007405757904052734,1.3954637601765287e-05,0.125,2,200,"{'learning_rate': 0.125, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
32,0.09168066978454589,0.005697894486195116,0.0008196830749511719,3.198543188166798e-05,0.125,2,300,"{'learning_rate': 0.125, 'max_depth': 2, 'n_estimators': 300}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
0,0.04091176986694336,0.008620048102854916,0.0007426738739013672,5.25497481023991e-05,0.1,1,100,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
55,0.036130428314208984,0.004280008170330344,0.0006787776947021484,1.9320438995404686e-05,0.15,2,100,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
56,0.06062107086181641,0.004521872982374375,0.0007552146911621094,3.469251675281266e-05,0.15,2,200,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
57,0.08605895042419434,0.003704610309843263,0.0008537769317626953,0.000132910349737222,0.15,2,300,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 300}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
58,0.11352066993713379,0.005150098600847907,0.0008337020874023438,1.6778570931795216e-05,0.15,2,400,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 400}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
59,0.13959002494812012,0.00937940520079689,0.00086212158203125,2.2246382671565707e-05,0.15,2,500,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
34,0.13479180335998536,0.0060735625189351095,0.0008747577667236328,2.8734335343574744e-05,0.125,2,500,"{'learning_rate': 0.125, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
25,0.031176662445068358,0.001344872493132198,0.0006778717041015625,2.726257811058695e-05,0.125,1,100,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
33,0.11846370697021484,0.005897670055953928,0.0008595943450927735,3.8660761735209156e-05,0.125,2,400,"{'learning_rate': 0.125, 'max_depth': 2, 'n_estimators': 400}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
8,0.1146245002746582,0.007815920576705517,0.0008245468139648438,6.854855488418288e-06,0.1,2,400,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 400}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
7,0.09072279930114746,0.007314827936512264,0.000788116455078125,1.2228432908267355e-05,0.1,2,300,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 300}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
6,0.0681309700012207,0.0046180389767383635,0.0007591724395751953,3.532568524292357e-05,0.1,2,200,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
5,0.03911409378051758,0.003935134709275899,0.000790262222290039,0.00012634246605568503,0.1,2,100,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
9,0.13979125022888184,0.009603954116714372,0.000872039794921875,1.947084413904614e-05,0.1,2,500,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
10,0.03719325065612793,0.00389769198748191,0.0007886886596679688,0.00017724031397562263,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
88,0.1092463493347168,0.004716202711485872,0.0008281230926513672,2.5379923711147335e-05,0.175,3,400,"{'learning_rate': 0.175, 'max_depth': 3, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
11,0.0626957893371582,0.00416905213289968,0.0007635116577148438,3.3165935417416626e-05,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
12,0.08687210083007812,0.006037456193781206,0.0008136749267578125,3.4961432493923934e-05,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
13,0.10813403129577637,0.005248622141253125,0.0008585929870605468,7.315222858193374e-05,0.1,3,400,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
39,0.12751665115356445,0.0029983838647811996,0.0008863925933837891,6.451227877615542e-05,0.125,3,500,"{'learning_rate': 0.125, 'max_depth': 3, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
38,0.11273379325866699,0.005639576809872582,0.0008443355560302735,2.7125119700883925e-05,0.125,3,400,"{'learning_rate': 0.125, 'max_depth': 3, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
36,0.05962839126586914,0.004752685174029821,0.0007355213165283203,1.292747660801502e-05,0.125,3,200,"{'learning_rate': 0.125, 'max_depth': 3, 'n_estimators': 200}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
87,0.07742023468017578,0.0021303086658890926,0.0007730484008789063,1.122503434220232e-05,0.175,3,300,"{'learning_rate': 0.175, 'max_depth': 3, 'n_estimators': 300}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
14,0.12879352569580077,0.004078719529166409,0.0008611679077148438,2.616398143740625e-05,0.1,3,500,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
60,0.03242201805114746,0.0023583685835827377,0.0006840705871582031,1.3970108109100079e-05,0.15,3,100,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
61,0.0598416805267334,0.006580764120831982,0.0007487773895263672,3.124815441340404e-05,0.15,3,200,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 200}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
62,0.08171839714050293,0.006323698161335165,0.0007742404937744141,2.0133937295042933e-05,0.15,3,300,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 300}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
63,0.10132803916931152,0.002341406786186739,0.0008134841918945312,5.565386257026856e-05,0.15,3,400,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
85,0.03190493583679199,0.001521047468283135,0.0006889820098876954,1.5285141362281825e-05,0.175,3,100,"{'learning_rate': 0.175, 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
64,0.12823119163513183,0.0038025795027635356,0.0009374618530273438,0.00018966080331347642,0.15,3,500,"{'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
89,0.12860627174377443,0.005750586714096309,0.0008680820465087891,2.903151288054022e-05,0.175,3,500,"{'learning_rate': 0.175, 'max_depth': 3, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
86,0.05583987236022949,0.003804797853788076,0.0007300376892089844,1.5785398661998943e-05,0.175,3,200,"{'learning_rate': 0.175, 'max_depth': 3, 'n_estimators': 200}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
35,0.034491968154907224,0.003232741708887914,0.0006887435913085938,1.616920984376311e-05,0.125,3,100,"{'learning_rate': 0.125, 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
37,0.08832764625549316,0.003981255848482824,0.0008179664611816407,8.904734447139497e-06,0.125,3,300,"{'learning_rate': 0.125, 'max_depth': 3, 'n_estimators': 300}",1.0,1.0,1.0,0.9,0.9,0.96,0.04898979485566354,29
96,0.05567455291748047,0.0038332733886174883,0.0007359504699707032,1.66520657021896e-05,0.175,5,200,"{'learning_rate': 0.175, 'max_depth': 5, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
97,0.07774195671081544,0.0025865368272423653,0.0007979393005371094,3.5848324524092074e-05,0.175,5,300,"{'learning_rate': 0.175, 'max_depth': 5, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
70,0.03670969009399414,0.003184965208100167,0.000717926025390625,1.5894778568196313e-05,0.15,5,100,"{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
71,0.05970926284790039,0.004774838788337031,0.0007407188415527344,2.8437810154721147e-05,0.15,5,200,"{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
78,0.11151962280273438,0.0068698533947089534,0.0007951259613037109,3.135217913173878e-05,0.175,1,400,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
73,0.11119589805603028,0.0016139519670020576,0.000874185562133789,2.1370392358313364e-05,0.15,5,400,"{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
74,0.1306208610534668,0.006767501362525596,0.0008276939392089844,2.717955070577958e-05,0.15,5,500,"{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
76,0.061305904388427736,0.004632821054286538,0.0007223129272460937,1.9722044813703253e-05,0.175,1,200,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
77,0.08909902572631836,0.009553290803047973,0.00075531005859375,1.6632665177649086e-05,0.175,1,300,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
79,0.13516769409179688,0.008018999854190184,0.0008298873901367188,7.737996103076088e-06,0.175,1,500,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
69,0.13380179405212403,0.005388417145873291,0.0008738517761230468,1.8168934942794584e-05,0.15,4,500,"{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
95,0.032306241989135745,0.002786804869887433,0.000694894790649414,2.783953218960993e-05,0.175,5,100,"{'learning_rate': 0.175, 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
94,0.12618298530578614,0.0014565016825645726,0.0008664608001708984,2.274038357212913e-05,0.175,4,500,"{'learning_rate': 0.175, 'max_depth': 4, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
93,0.10467157363891602,0.0028188261198895974,0.0008244037628173829,2.8163844938692812e-05,0.175,4,400,"{'learning_rate': 0.175, 'max_depth': 4, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
92,0.07799277305603028,0.0022310329123487343,0.0007917881011962891,2.8379623555555078e-05,0.175,4,300,"{'learning_rate': 0.175, 'max_depth': 4, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
91,0.05638189315795898,0.0036080116995815975,0.0007471561431884766,2.1420234233637964e-05,0.175,4,200,"{'learning_rate': 0.175, 'max_depth': 4, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
90,0.03310837745666504,0.0030511094969303734,0.0007176876068115234,9.784605535173524e-05,0.175,4,100,"{'learning_rate': 0.175, 'max_depth': 4, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
72,0.086102294921875,0.0033493878938204275,0.0007974624633789063,2.4235527090450805e-05,0.15,5,300,"{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
68,0.10315022468566895,0.0029971638955544142,0.0007971286773681641,7.694089298831922e-06,0.15,4,400,"{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
49,0.1276153564453125,0.003391309820073808,0.0008353710174560547,2.1315954367215845e-05,0.125,5,500,"{'learning_rate': 0.125, 'max_depth': 5, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
66,0.05663895606994629,0.002764492188978879,0.0007337093353271485,8.824193384796667e-06,0.15,4,200,"{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
3,0.12230386734008789,0.009793052053534545,0.0008374691009521484,1.9995687368027782e-05,0.1,1,400,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
4,0.15688776969909668,0.016256520787049013,0.0008952617645263672,5.141534109750895e-05,0.1,1,500,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
15,0.040505075454711915,0.004550440885276843,0.0007053852081298828,2.5201464097717862e-05,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
16,0.061395263671875,0.004496622342190891,0.0007396697998046875,1.5308329508222692e-05,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
17,0.08409738540649414,0.0036175256931010543,0.0007860660552978516,1.9684193667072362e-05,0.1,4,300,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
18,0.11033878326416016,0.005263738268498501,0.0008289813995361328,2.271116867849323e-05,0.1,4,400,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
19,0.13749685287475585,0.006407638465080079,0.000878286361694336,1.973575944779613e-05,0.1,4,500,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
20,0.038931846618652344,0.0043381631611484435,0.0006855010986328125,7.923822735075167e-06,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
21,0.06087942123413086,0.004037821668313044,0.0007463932037353515,1.9866778003865873e-05,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
22,0.08504409790039062,0.005589728856546949,0.0007953643798828125,2.865747683124615e-05,0.1,5,300,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
23,0.10859513282775879,0.005184047967537636,0.0008153915405273438,1.82149297886861e-05,0.1,5,400,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
24,0.1327977180480957,0.0019991397033081765,0.0008663177490234375,2.471268090057215e-05,0.1,5,500,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
27,0.09254751205444336,0.005871002588354074,0.0008825302124023437,0.0001818861947307511,0.125,1,300,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
28,0.11984028816223144,0.013066075213378431,0.0008153915405273438,3.3777106022741285e-05,0.125,1,400,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
29,0.14142651557922364,0.010381691087894915,0.0008810043334960937,2.8341300972569684e-05,0.125,1,500,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
40,0.037044525146484375,0.004033725347868809,0.0007019996643066406,1.711878603557402e-05,0.125,4,100,"{'learning_rate': 0.125, 'max_depth': 4, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
41,0.06053938865661621,0.004554384354687877,0.0007400989532470703,1.5869725198249074e-05,0.125,4,200,"{'learning_rate': 0.125, 'max_depth': 4, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
42,0.08159217834472657,0.0035072261512491287,0.0008162498474121094,4.2527779967906005e-05,0.125,4,300,"{'learning_rate': 0.125, 'max_depth': 4, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
43,0.10701045989990235,0.0034226112157888944,0.0008162975311279297,1.0445237403940633e-05,0.125,4,400,"{'learning_rate': 0.125, 'max_depth': 4, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
44,0.12817482948303222,0.003483515171794335,0.0008655548095703125,1.2554136245486215e-05,0.125,4,500,"{'learning_rate': 0.125, 'max_depth': 4, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
45,0.0374089241027832,0.005156989711772146,0.0007355213165283203,3.747224132697728e-05,0.125,5,100,"{'learning_rate': 0.125, 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
46,0.058206033706665036,0.0033624390896435843,0.0007497787475585938,3.0993461594214355e-05,0.125,5,200,"{'learning_rate': 0.125, 'max_depth': 5, 'n_estimators': 200}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
47,0.08072471618652344,0.0033272754999443127,0.000775146484375,1.4535636008405996e-05,0.125,5,300,"{'learning_rate': 0.125, 'max_depth': 5, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
48,0.1069178581237793,0.005493039307320065,0.0008217334747314453,1.922877989001815e-05,0.125,5,400,"{'learning_rate': 0.125, 'max_depth': 5, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
98,0.10487055778503418,0.0039592124747336805,0.0008090972900390625,2.7690077886901102e-05,0.175,5,400,"{'learning_rate': 0.175, 'max_depth': 5, 'n_estimators': 400}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
52,0.09229130744934082,0.000222371177189318,0.0008257865905761719,9.710617506455065e-05,0.15,1,300,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
53,0.11411476135253906,0.00893056652029209,0.0008201122283935547,1.8732115494279162e-05,0.15,1,400,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
54,0.1369532585144043,0.00483503011832306,0.0008431434631347656,1.7174480318352785e-05,0.15,1,500,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,0.85,0.95,0.0632455532033676,49
65,0.033165931701660156,0.002777394628508829,0.00068359375,1.1931795889220756e-05,0.15,4,100,"{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 100}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
67,0.08308773040771485,0.006945826699139614,0.0007780551910400391,1.9463252187364558e-05,0.15,4,300,"{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 300}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
99,0.13375706672668458,0.005875892803045549,0.0008553028106689453,2.2235955110402493e-05,0.175,5,500,"{'learning_rate': 0.175, 'max_depth': 5, 'n_estimators': 500}",1.0,1.0,0.95,0.9,0.9,0.95,0.04472135954999579,49
