,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
75,0.03105645179748535,0.0020086907683413953,0.0006427288055419922,2.5432189290598553e-05,0.175,1,100,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
1,0.061307334899902345,0.00322530165842613,0.0007612705230712891,1.270840358453129e-05,0.1,1,200,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
2,0.09184026718139648,0.004668251133524314,0.0008645534515380859,0.00014472635403240365,0.1,1,300,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
84,0.12803411483764648,0.00402060752715218,0.0008591651916503906,2.83982850623516e-05,0.175,2,500,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
83,0.10706400871276855,0.0019372712758184143,0.0007886409759521485,3.041361445171603e-05,0.175,2,400,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 400}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
51,0.05964727401733398,0.0042368666943249245,0.0007346630096435547,1.2652458651683553e-05,0.15,1,200,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
50,0.03276643753051758,0.00331212758464549,0.000672149658203125,2.7756428434712576e-05,0.15,1,100,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
26,0.059772300720214847,0.0044406072161767415,0.0007384777069091797,1.7300451190834674e-05,0.125,1,200,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
80,0.035367059707641604,0.00393201989506847,0.0006941318511962891,2.2760971520354452e-05,0.175,2,100,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
81,0.06177992820739746,0.007186223227803671,0.0007436275482177734,1.541961907476925e-05,0.175,2,200,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
82,0.08174629211425781,0.0038473855324707667,0.0007786750793457031,2.3490219998238323e-05,0.175,2,300,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 300}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
30,0.03677248954772949,0.004064541316672235,0.0007119655609130859,2.376467609737018e-05,0.125,2,100,"{'learning_rate': 0.125, 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
