,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Cs,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.1020270824432372,0.05639406987026488,0.0005389690399169922,3.891867651122809e-05,100,newton-cg,"{'Cs': 100, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.85,1.0,0.97,0.06000000000000001,3
1,1.0390866279602051,0.130138884839307,0.0004959583282470703,2.1028680865641942e-05,100,lbfgs,"{'Cs': 100, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.85,1.0,0.97,0.06000000000000001,3
2,0.2715908050537109,0.010900088686592516,0.00045800209045410156,5.291732454771942e-05,100,liblinear,"{'Cs': 100, 'solver': 'liblinear'}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,3
3,0.19636039733886718,0.012951805081696223,0.0005571842193603516,8.982921075670434e-05,10,newton-cg,"{'Cs': 10, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
4,0.18480029106140136,0.049067953171654265,0.0005038261413574218,3.174869029667853e-05,10,lbfgs,"{'Cs': 10, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
5,0.03424701690673828,0.00045569610074390753,0.00049285888671875,8.971452583124022e-05,10,liblinear,"{'Cs': 10, 'solver': 'liblinear'}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,3
6,0.0024350643157958984,0.0003440204987329053,0.0,0.0,1.0,newton-cg,"{'Cs': 1.0, 'solver': 'newton-cg'}",,,,,,,,7
7,0.0022349834442138674,0.00018019684410244767,0.0,0.0,1.0,lbfgs,"{'Cs': 1.0, 'solver': 'lbfgs'}",,,,,,,,8
8,0.0022237300872802734,0.0001101947872498777,0.0,0.0,1.0,liblinear,"{'Cs': 1.0, 'solver': 'liblinear'}",,,,,,,,9
9,0.0022169113159179687,0.00015811057349064244,0.0,0.0,0.1,newton-cg,"{'Cs': 0.1, 'solver': 'newton-cg'}",,,,,,,,10
10,0.0022867679595947265,8.974787251106254e-05,0.0,0.0,0.1,lbfgs,"{'Cs': 0.1, 'solver': 'lbfgs'}",,,,,,,,11
11,0.0020345211029052734,0.0001323860547605186,0.0,0.0,0.1,liblinear,"{'Cs': 0.1, 'solver': 'liblinear'}",,,,,,,,12
12,0.002409076690673828,0.0003432310365979368,0.0,0.0,0.01,newton-cg,"{'Cs': 0.01, 'solver': 'newton-cg'}",,,,,,,,13
13,0.002073526382446289,0.00013647950809047294,0.0,0.0,0.01,lbfgs,"{'Cs': 0.01, 'solver': 'lbfgs'}",,,,,,,,14
14,0.0020311355590820314,0.00012481574906753935,0.0,0.0,0.01,liblinear,"{'Cs': 0.01, 'solver': 'liblinear'}",,,,,,,,15
