,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Cs,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1279313087463379,0.011534530573681801,0.0005152702331542968,1.2295928258949087e-05,5,newton-cg,"{'Cs': 5, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
1,0.12880196571350097,0.03251647501505604,0.0005504608154296875,7.143323023548975e-05,5,lbfgs,"{'Cs': 5, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
2,0.02252926826477051,0.0028823273296945152,0.0004615306854248047,4.6650029796150575e-05,5,liblinear,"{'Cs': 5, 'solver': 'liblinear'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
3,0.137278413772583,0.008787774432542667,0.0005250930786132813,3.701945784384173e-05,6,newton-cg,"{'Cs': 6, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
4,0.13039808273315429,0.03161436593163214,0.0005201816558837891,2.4287072359217166e-05,6,lbfgs,"{'Cs': 6, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
5,0.023557662963867188,0.001013533863094217,0.00043158531188964845,2.6792308379855987e-05,6,liblinear,"{'Cs': 6, 'solver': 'liblinear'}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,15
6,0.1530078411102295,0.01816348849654891,0.0005052089691162109,1.90705058630192e-05,7,newton-cg,"{'Cs': 7, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
7,0.14170618057250978,0.034373514807318734,0.0004839897155761719,1.4199022431685706e-05,7,lbfgs,"{'Cs': 7, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
8,0.024628543853759767,0.0007400303861040945,0.00045142173767089846,2.431336512780247e-05,7,liblinear,"{'Cs': 7, 'solver': 'liblinear'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
9,0.16513195037841796,0.008707175150199871,0.0005306243896484375,2.280986818396218e-05,8,newton-cg,"{'Cs': 8, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
10,0.14945201873779296,0.03494341896669954,0.0005107402801513671,1.6977947558712833e-05,8,lbfgs,"{'Cs': 8, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
11,0.028321552276611327,0.0015492174460959031,0.0004382610321044922,2.4778286732113522e-05,8,liblinear,"{'Cs': 8, 'solver': 'liblinear'}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,15
12,0.18413472175598145,0.02110568001262245,0.0005403041839599609,1.7651607360432605e-05,9,newton-cg,"{'Cs': 9, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
13,0.168509578704834,0.038423245335083143,0.0005121231079101562,1.3055240599554141e-05,9,lbfgs,"{'Cs': 9, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
14,0.03593263626098633,0.00048553081912685713,0.0004987716674804688,1.132224704795361e-05,9,liblinear,"{'Cs': 9, 'solver': 'liblinear'}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,15
15,0.18587079048156738,0.01571859368305807,0.0005255699157714844,2.0796114375372002e-05,10,newton-cg,"{'Cs': 10, 'solver': 'newton-cg'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
16,0.18599538803100585,0.044629757280378705,0.0005197525024414062,5.12392534388964e-05,10,lbfgs,"{'Cs': 10, 'solver': 'lbfgs'}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
17,0.03357949256896973,0.0007893473453120614,0.0004574298858642578,1.8022047620169002e-05,10,liblinear,"{'Cs': 10, 'solver': 'liblinear'}",1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,15
