,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
61,0.0828016757965088,0.002455763689428103,0.0072704792022705075,5.5930905087470216e-05,False,entropy,1,100,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
77,0.08546457290649415,0.0012891428567342925,0.007759618759155274,0.00075749579232031,False,entropy,5,100,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
76,0.010120916366577148,0.00014953049155221103,0.0015073299407958984,7.695395374593114e-05,False,entropy,5,10,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
75,0.8429982185363769,0.003533598562537333,0.06616344451904296,9.627206422585802e-05,False,entropy,4,1000,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
74,0.42853379249572754,0.007962835477159777,0.03463687896728516,0.0016517279160697348,False,entropy,4,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
73,0.08425364494323731,0.0008787300079894347,0.007410907745361328,0.0001461666978854123,False,entropy,4,100,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
72,0.009956550598144532,0.00014593479504675146,0.0014742374420166015,1.9193865462007677e-05,False,entropy,4,10,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 4, 'n_estimators': 10}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
71,0.8411515235900879,0.018818733889322047,0.06654558181762696,0.0007875783466673575,False,entropy,3,1000,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
60,0.009584856033325196,0.00012368244087536016,0.0014630794525146485,2.0442137440837698e-05,False,entropy,1,10,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 10}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
70,0.4178157806396484,0.0029880421791234103,0.03545117378234863,0.0038843646141222187,False,entropy,3,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
68,0.010380887985229492,0.0005766529701297019,0.0015477180480957032,6.833187948889609e-05,False,entropy,3,10,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
